,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Health Center Service Delivery Site Location Setting Description,Health Center Location Type Description,Health Center Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
10087,KOBUK CLINIC,101 MAIN STREET,Kobuk,AK,99751,907-948-2218,www.maniilaq.org,All Other Clinic Types,Permanent,Service Delivery Site,-156.63589999,66.954386
10088,MEHOP Wharton Health 2,2112 Regional Medical Dr STE 1317,Wharton,TX,77488-1413,979-245-2008,,All Other Clinic Types,Permanent,Service Delivery Site,-96.11810413,29.32622878
10089,Cornerstone Care Pediatric and Family Medicine Center of Waynesburg,236 Elm Dr,Waynesburg,PA,15370-8265,724-627-0926,www.cornerstonecare.com,All Other Clinic Types,Permanent,Service Delivery Site,-80.14836861,39.89699816
10090,Second Mile,1135 Highway 90 a,Missouri City,TX,77489-1229,281-342-4530,,All Other Clinic Types,Permanent,Service Delivery Site,-95.53035151,29.62165659
10091,South Baldwin Family Health Center,1628 N McKenzie St,Foley,AL,36535-2273,251-947-1083,www.franklinprimary.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.68315969,30.42803708
10092,"Shortgrass Community Health Center, Inc.",400 E Sycamore St,Hollis,OK,73550-1436,580-688-2800,shortgrasschc.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-99.91435819,34.6956866
10094,Aid Family Medical Center,13804 State Route 141,Kitts Hill,OH,45645-8848,740-643-2082,www.ilcao.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.4933652,38.5968113
10095,Community Health & Dental Care Heritage Dr. Ste 802,800 Heritage Dr STE 802,Pottstown,PA,19464-9220,610-326-9460,,All Other Clinic Types,Permanent,Service Delivery Site,-75.60077518,40.24656309
10096,Cempa Community Care at Impact Hub,4001 Rossville Blvd,Chattanooga,TN,37407-2546,423-203-1548,www.cempa.org,All Other Clinic Types,Permanent,Service Delivery Site,-85.29140047,34.99737648
10097,Camarena Health- SAMC Urgent Care,1245 E Herndon Ave,Fresno,CA,93720-3235,559-664-4000,www.camarenahealth.org/,All Other Clinic Types,Permanent,Service Delivery Site,-119.76575642,36.83707536
10099,CommuniCare Health Centers - Boerne,430 W Bandera Rd STE 9,Boerne,TX,78006-2521,210-233-7000,,All Other Clinic Types,Permanent,Service Delivery Site,-98.73571064,29.78053875
10101,Harm Reduction &amp; Treatment Center,647 Polk St,Eugene,OR,97402-4525,541-342-8255,www.whitebirdclinic.org,All Other Clinic Types,Permanent,Service Delivery Site,-123.11249496,44.05276969
10103,Eagle View Community Health System Monmouth Clinic,230 S Main St,Monmouth,IL,61462-2160,309-867-2202,www.eagleviewhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.64832374,40.91001742
10105,Agape Community Health Clinic - Williamston,1130 Godwin Dr,Williamston,NC,27892-6828,252-945-2011,www.metropolitancommunity.org,All Other Clinic Types,Permanent,Service Delivery Site,-77.06930129,35.83908209
10108,CSC - COMMUNITY HEALTH CENTER Suite 213,767 N Hill St STE 213,Los Angeles,CA,90012-2365,213-808-1792,,All Other Clinic Types,Permanent,Service Delivery Site,-118.23970774,34.06255556
10109,Renaissance Downtown Lofts,2075 N Broadway,Denver,CO,80205-2853,303-293-2217,,All Other Clinic Types,Permanent,Service Delivery Site,-104.98748136,39.75032798
10110,Randall Square Health Center   Suite 205,1 Randall Sq STE 205,Providence,RI,02904-2773,401-274-6339,www.providencechc.org,All Other Clinic Types,Permanent,Service Delivery Site,-71.41112245,41.83693982
10111,Community Action Health Center Falfurrias,1302 S St Marys St STE A&Ampb,Falfurrias,TX,78355-5034,361-325-9404,www.cacost.org,All Other Clinic Types,Permanent,Service Delivery Site,-98.14588097,27.2146058
10112,Thrive Alabama Health Education Location,4825 University Sq STE 14,Huntsville,AL,35816-1826,256-536-4700,,All Other Clinic Types,Permanent,Service Delivery Site,-86.65520451,34.74117582
10118,RKM Primary Care,11990 Jackson St,Clinton,LA,70722-3210,225-683-5292 x10212,www.rkmcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-91.0220531,30.86426053
10119,ARcare - 079,1600 W Holland Ave STE 202,White Hall,AR,71602-9221,870-347-2534,arcare.net,All Other Clinic Types,Permanent,Service Delivery Site,-92.11695291,34.2862858
10120,Clover Fork Harlan,209 E Mound St,Harlan,KY,40831-2321,606-573-1499,http://www.cloverforkclinic.org/,All Other Clinic Types,Permanent,Service Delivery Site,-83.32132733,36.84811131
10122,AltaMed - PACE Inglewood,3310 W Century Blvd,Inglewood,CA,90303-1305,323-765-6165,,All Other Clinic Types,Permanent,Service Delivery Site,-118.3289828,33.94539177
10126,Homeless Drop-In Center,153 N 17th St APT 162,Baton Rouge,LA,70802-3801,225-655-6422,www.haartinc.org,All Other Clinic Types,Permanent,Service Delivery Site,-91.17202396,30.44847392
10127,Capitol City Family Health Center @ Donaldsonville,904 Catalpa St,Donaldsonville,LA,70346-2946,225-650-2000,,All Other Clinic Types,Permanent,Service Delivery Site,-91.00127067,30.10421365
10128,OHI - Toms River,10 Stockton Dr,Toms River,NJ,08755-6433,732-363-6655,www.ohinj.org,All Other Clinic Types,Permanent,Service Delivery Site,-74.21419775,39.95942167
10129,CAIRO MEGA CLINIC,13245 Kessler Rd,Cairo,IL,62914,618-734-4400,www.chesi.org,All Other Clinic Types,Permanent,Service Delivery Site,-89.20087621,37.04075581
10132,Baldwin Park Health Center,3940 Maine Ave,Baldwin Park,CA,91706-4220,626-678-9296,www.elproyecto.us,All Other Clinic Types,Permanent,Service Delivery Site,-117.96165533,34.08458094
10133,HCHC Elkton,800 Shenandoah Ave STE 170,Elkton,VA,22827-3060,540-298-9900,,All Other Clinic Types,Permanent,Service Delivery Site,-78.6235921,38.41642898
10134,CareConnect Convenient Care,6005 Watson Blvd STE 100,Byron,GA,31008-6542,478-956-5002,https://www.ccthealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.71313596,32.61437254
10135,HAYSI CLINIC,162 Medical Center Blvd,Haysi,VA,24256,276-865-5121,,All Other Clinic Types,Permanent,Service Delivery Site,-82.29520402,37.20069468
10136,Jonathan Williams Child Health Clinic,333 Roebling St,Brooklyn,NY,11211-6204,718-387-6407,,All Other Clinic Types,Permanent,Service Delivery Site,-73.9605275,40.70816535
10137,"Rural Health Medical Program, Inc. - Marion Health Center",1310 Washington St,Marion,AL,36756-3218,334-683-2073,www.rhmpi.com,All Other Clinic Types,Permanent,Service Delivery Site,-87.31761566,32.62020559
10138,Harmony Healthcare Long Island at Westbury,682 Union Ave,Westbury,NY,11590,516-571-9500,www.harmonyhealthcareli.org,All Other Clinic Types,Permanent,Service Delivery Site,-73.57529263,40.76109619
10140,Camarena Health - Coarsegold,35324 Highway 41 STE A,Coarsegold,CA,93614-8302,559-664-4000,,All Other Clinic Types,Permanent,Service Delivery Site,-119.69879516,37.26241332
10141,Sea Mar CHC - Tumwater 6336 Littlerock Rd. SW,6336 Littlerock Rd SW,Tumwater,WA,98512-7332,360-704-7590,,All Other Clinic Types,Permanent,Service Delivery Site,-122.9236791,46.99172952
10142,Meridian Health Services Corp,2622 Lake Ave STE 1,Fort Wayne,IN,46805-5410,765-282-1928,,All Other Clinic Types,Permanent,Service Delivery Site,-85.10466382,41.0898491
10143,"UMass Memorial Health, Belmont Campus",119 Belmont St,Worcester,MA,01605-2903,508-860-7700,www.umassmemorial.org,Hospital,Permanent,Service Delivery Site,-71.79225102,42.27295025
10147,Sterling Health Care - Indian Mound,103 Commonwealth Dr,Mt Sterling,KY,40353-9644,859-404-7686,,All Other Clinic Types,Permanent,Service Delivery Site,-83.956746,38.06735317
10149,LCHC Family Continuity Clinic,2609 SW Lee Blvd,Lawton,OK,73505-8312,580-248-5242,,All Other Clinic Types,Permanent,Service Delivery Site,-98.42931109,34.59450069
10151,Greater Valley Health Center - Kalispell Pharmacy,202 2nd Ave W STE A,Kalispell,MT,59901-4488,406-607-4900,,All Other Clinic Types,Permanent,Service Delivery Site,-114.31608848,48.19608302
10155,Mobile Medical Unit #3,800 Ohio Ave,Clarksdale,MS,38614-7200,662-624-4292 x1121,https://www.aehchc.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.5501636,34.19501939
10156,SEMINARY FAMILY HEALTH CENTER,100 Highway 535,Seminary,MS,39479-8809,601-722-3208,www.semrhi.com,All Other Clinic Types,Permanent,Service Delivery Site,-89.49253445,31.56184958
10157,Five Rivers Family Health Center,2261 Philadelphia Dr,Dayton,OH,45406-1814,937-734-4141,,All Other Clinic Types,Permanent,Service Delivery Site,-84.23507128,39.78885098
10159,"Healthy Connections, Inc. Hot Springs Central Clinic",3604 Central Ave STE D,Hot Springs National Park,AR,71913-6458,479-437-3449,,All Other Clinic Types,Permanent,Service Delivery Site,-93.06066305,34.46837664
10162,SCAMMON BAY CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Scammon Bay,AK,99662,907-675-4556,www.ykhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-165.56930399,61.84034299
10163,Sea Mar CHC - Gig Harbor 50th St Ct NW,3208 50th Street Ct STE 202-203,Gig Harbor,WA,98335-8590,253-280-9888,,All Other Clinic Types,Permanent,Service Delivery Site,-122.58281115,47.30391233
10165,AACI Story Road Clinic,749 Story Rd STE 50,San Jose,CA,95122-2600,408-975-2763,www.aaci.org,All Other Clinic Types,Permanent,Service Delivery Site,-121.86082603,37.32799907
10167,Watsonville Health Center-Building F,1430 Freedom Blvd STE F,Watsonville,CA,95076-2752,831-454-8200,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-121.76521441,36.9271325
10168,Compass Health Inc.,1010 Remington Plz,Raymore,MO,64083-8640,816-318-4430,http://compasshealthhome.org/,All Other Clinic Types,Permanent,Service Delivery Site,-94.47104214,38.8128427
10169,GPW Health Center - Woodbridge,3350 Commission Ct,Woodbridge,VA,22192-1784,703-680-7950,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-77.31349706,38.68672812
10170,Palm Center Adult Support Services,240 E 1st Ave STE 201,Hialeah,FL,33010-4972,786-441-5353,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-80.27942067,25.82406327
10171,Cape Coral Pediatric Office,650 Del Prado Blvd S,Cape Coral,FL,33990-2668,239-343-9888,http://www.leehealth.org/community-health/,All Other Clinic Types,Permanent,Service Delivery Site,-81.94099798,26.6386942
10172,HEALTH PROMED FOUNDATION,121 Ave Ponce De Leon,Guaynabo,PR,00965-5602,787-268-4171,,All Other Clinic Types,Permanent,Service Delivery Site,-66.1163882,18.43653972
10173,Baird on Peyton,527 Peyton St STE 2A,Baird,TX,79504-4700,325-854-1365,,All Other Clinic Types,Permanent,Service Delivery Site,-99.40392886,32.39652027
10177,SANDHILLS MEDICAL  Inc. - MCBEE site,645 S Seventh St,Mc Bee,SC,29101-7101,843-335-8291,sandhillsmedical.org/,All Other Clinic Types,Permanent,Service Delivery Site,-80.26015043,34.4599382
10178,Via Care Bellflower Health Center,10230 Artesia Blvd,Bellflower,CA,90706-6720,323-268-9191,,All Other Clinic Types,Permanent,Service Delivery Site,-118.11595975,33.87283021
10179,TCCH Sebastian River Walk Plaza,13505 US Highway 1,Sebastian,FL,32958-3759,772-257-8224 x431,,All Other Clinic Types,Permanent,Service Delivery Site,-80.48604347,27.83896882
10182,Coastal Family Pharmacy - Biloxi,1029 Division St,Biloxi,MS,39530-2969,228-374-2476,www.coastalfamilyhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-88.89956729,30.40341084
10184,Rhonda D Hauff Resource Center,201 S 6th St,Yakima,WA,98901-2928,509-853-2385,www.ynhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-120.49700078,46.60116007
10185,Ag Worker Health &amp; Services,116 N Washington St,Dillon,MT,59725-2631,406-683-5570,agworker.org,All Other Clinic Types,Permanent,Service Delivery Site,-112.63442581,45.2174504
10187,La Junta Clinic,1012 Belmont Ave,La Junta,CO,81050-2101,719-383-5900,www.vwhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-103.55556128,37.97836992
10189,Omni Family Health,525 Roberts Ln,Bakersfield,CA,93308-4799,866-707-6664,www.OmniFamilyHealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.03174486,35.40857644
10190,Wesley Health Centers - San Julian Oasis,628 San Julian St,Los Angeles,CA,90014-2412,866-733-5924,http://jwchinstitute.org/,All Other Clinic Types,Permanent,Service Delivery Site,-118.24676438,34.04203662
10191,"Homeless Outreach, Case Management and Advocacy",323 E 12th Ave,Eugene,OR,97401-3212,541-342-1295,,All Other Clinic Types,Permanent,Service Delivery Site,-123.08774287,44.04664503
10196,Via Care Whittier Dental Clinic,5017 Whittier Blvd,Los Angeles,CA,90022-3116,323-268-9191,,All Other Clinic Types,Permanent,Service Delivery Site,-118.16130987,34.02129456
10198,"E.A. Hawse Health Center, Inc. Wardensville",325 E Main St,Wardensville,WV,26851,304-874-4012,,All Other Clinic Types,Permanent,Service Delivery Site,-78.59199663,39.08054287
10202,Valley View Health Center - Walk-In Clinic,1800 Cooks Hill Rd STE G,Centralia,WA,98531-9162,360-736-3042,,All Other Clinic Types,Permanent,Service Delivery Site,-122.98381288,46.71370657
10205,Southern Missouri Community Health Center Thayer Clinic,US Highway 63,Thayer,MO,65791,417-264-2990,http://www.smchc.org/,All Other Clinic Types,Permanent,Service Delivery Site,-91.5358896,36.52143165
10207,"Community Medical Clinic, Hopkinsville",1102 S Virginia St,Hopkinsville,KY,42240-3579,270-632-6741,,All Other Clinic Types,Permanent,Service Delivery Site,-87.48867933,36.86395223
10210,"COMMUNITY HEALTH SERVICES, INC.",500 Albany Ave,Hartford,CT,06120-2508,860-249-9625,www.chshartford.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-72.68495523,41.77773375
10211,Grace Clinic - Putnam County,239 Hillsdale Ave,Greencastle,IN,46135-1340,765-653-1024,http://www.hamiltoncenter.org,All Other Clinic Types,Permanent,Service Delivery Site,-86.85910252,39.64889701
10215,Neighborhood Health at Sherwood Hall Lane,2616 Sherwood Hall Ln STE 106,Alexandria,VA,22306-3154,703-535-5568,,All Other Clinic Types,Permanent,Service Delivery Site,-77.07723082,38.74341464
10217,Palms Medical Group Live Oak,211 Ranchera St NW,Live Oak,FL,32064-4866,386-364-1751,www.palmsmg.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.97096897,30.32118998
10218,West Kendall Health Center,13540 SW 135th Ave,Miami,FL,33186-6184,305-252-4853,www.chisouthfl.org,All Other Clinic Types,Permanent,Service Delivery Site,-80.41266754,25.64184313
10219,"Family HealthCare LaMoure, North Dakota",100 1st Ave SW,Lamoure,ND,58458-7415,701-271-3344,,All Other Clinic Types,Permanent,Service Delivery Site,-98.2955448,46.3571749
10220,PanCare Health - Panama City,2309 E 15th St,Panama City,FL,32405-6345,850-747-5272,www.pancarefl.org,All Other Clinic Types,Permanent,Service Delivery Site,-85.63291088,30.1749456
10222,FEDERAL WAY PUBLIC HLTH CTR,33431 13th Pl S,Federal Way,WA,98003-6357,206-296-8410,http://www.kingcounty.gov/healthservices/health/locations/federalway.aspx,All Other Clinic Types,Permanent,Service Delivery Site,-122.31674515,47.30197669
10223,Great Lakes Bay Health Centers Wolverine Vassar,1015 Commerce Dr,Vassar,MI,48768-9589,989-823-3040,,All Other Clinic Types,Permanent,Service Delivery Site,-83.5642058,43.3719496
10225,MCC Goes to School,208 Dana St,Fort Bragg,CA,95437-4501,707-964-1251,www.mccinc.org,All Other Clinic Types,Permanent,Service Delivery Site,-123.7885596,39.43977109
10226,GOSHEN MEDICAL CENTER - HAMLET,106 Jefferson St,Hamlet,NC,28345-3100,910-557-9447,,All Other Clinic Types,Permanent,Service Delivery Site,-79.70236679,34.88620634
10227,CVCH Columbia Pediatrics,933 Red Apple Rd STE C,Wenatchee,WA,98801-3370,509-663-8767,www.cvch.org,All Other Clinic Types,Permanent,Service Delivery Site,-120.32272802,47.40794252
10228,Rockbridge Area Health Center,25 Northridge Ln,Lexington,VA,24450-3399,540-464-8700,http://rockahc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-79.40538171,37.80408166
10229,San Ysidro Health San Diego PACE Vista,1840 West Dr,Vista,CA,92083-6115,619-662-4100,,All Other Clinic Types,Permanent,Service Delivery Site,-117.28083152,33.19017269
10230,FREELAND HEALTH CENTER,404 Ridge St,Freeland,PA,18224-1802,570-704-4232,www.rhcnepa.com,All Other Clinic Types,Permanent,Service Delivery Site,-75.89860666,41.01553276
10231,CLINICA DE SALUD-ALVIN DR.DENTAL,620 E Alvin Dr STE G,Salinas,CA,93906-3054,831-444-9722,www.csvs.org,All Other Clinic Types,Permanent,Service Delivery Site,-121.63210501,36.70361128
10234,PHSC FAMILY JUSTICE CENTER CLINIC,620 Riverside Dr,Monroe,LA,71201-6211,318-996-6030,,All Other Clinic Types,Permanent,Service Delivery Site,-92.12231448,32.50577082
10235,ARcare - 79,7300 Dollarway Rd STE 116,White Hall,AR,71602-3023,870-347-2534,,All Other Clinic Types,Permanent,Service Delivery Site,-92.08410519,34.26352531
10236,Westside Health Center,669 Stocking Ave NW,Grand Rapids,MI,49504-5176,616-235-1480,www.cherryhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-85.68803942,42.97555192
10237,Daughters of Charity Health Center - New Orleans East,5630 Read Blvd,New Orleans,LA,70127-3106,504-248-5357,www.dchcno.org,All Other Clinic Types,Permanent,Service Delivery Site,-89.9722639,30.03162364
10238,PMS - Artesia Family Health Center PSR,1103 Memorial Dr,Artesia,NM,88210-1189,575-746-9848,,All Other Clinic Types,Permanent,Service Delivery Site,-104.41108398,32.84850495
10239,Community Health Centers of America Gustine,554 5th St,Gustine,CA,95322-1516,209-966-2304,,All Other Clinic Types,Permanent,Service Delivery Site,-120.99881946,37.25401469
10240,Mary Mahoney Memorial Health Center,12716 NE 36th St,Spencer,OK,73084-9167,405-769-3301,www.communityhealthok.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-97.30556065,35.50763586
10241,"Ampla Health Lindhurst Medical ,Dental and Xpress Care",4941 Olivehurst Ave,Olivehurst,CA,95961-4225,530-743-4611,www.amplahealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-121.55151779,39.09747218
10242,Perry A. Klaassen Family Medical Center,1006 NE 17th St,Oklahoma City,OK,73111-1002,405-419-9800,www.communityhealthok.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.49409873,35.48692188
10243,Lacoochee Family Health Center,38724 Mudcat Grant Blvd,Dade City,FL,33523-6792,352-518-2000,,All Other Clinic Types,Permanent,Service Delivery Site,-82.17446253,28.45667133
10244,State Street Health & Counseling Services,911 State St,New Haven,CT,06511-3926,203-503-3530,www.cornellscott.org,All Other Clinic Types,Permanent,Service Delivery Site,-72.91075548,41.31491825
10245,East Bay Family Health Center,6 John H Chafee Blvd,Newport,RI,02840-1034,401-848-2160,www.ebcap.org,All Other Clinic Types,Permanent,Service Delivery Site,-71.31257851,41.51640269
10246,SOUTH BOSTON COMMUNITY HEALTH CENTER,409 West Broadway,South Boston,MA,02127-2249,617-269-7500,www.sbchc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-71.04821747,42.33687152
10247,NorthShore Gary Health Center,2200 Grant St,Gary,IN,46404-3439,219-763-8112,northshorehealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.35649421,41.57851196
10249,BROADWAY CLINIC,227 Broadway,Paterson,NJ,07501-2002,973-278-2600,www.patersonchc.org,All Other Clinic Types,Permanent,Service Delivery Site,-74.16512858,40.91877508
10251,"Community Health &amp; Dental Care, Inc.",351 W Schuylkill Rd,Pottstown,PA,19465-7438,610-326-9460 x222,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-75.66250261,40.23338594
10252,TRAVELERS REST,1588 Geer Hwy,Travelers Rest,SC,29690-9204,864-836-1109,www.newhorizonfhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.4733669,34.99605126
10253,Centro de Servicios Primarios de Salud-  Santa Isabel satellite clinic,32 Calle Luis Munoz Rivera,Santa Isabel,PR,00757-2609,787-839-4320,,All Other Clinic Types,Permanent,Service Delivery Site,-66.40428596,17.96488898
10254,Venice Family Clinic - Chuck Lorre Rose Avenue Health and Wellness Center,604 Rose Ave,Venice,CA,90291-2767,310-392-8636,www.venicefamilyclinic.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.47164858,33.99928812
10255,HOOPER BAY SUB-REGIONAL CLINIC,Airport Rd,Hooper Bay,AK,99604,907-758-4519,www.ykhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-166.09100378,61.53318319
10256,Moreno Valley Family Health Center,22675 Alessandro Blvd,Moreno Valley,CA,92553-8551,951-571-2350,www.chsica.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.26725509,33.91695235
10257,Central Oklahoma Family Medical Center - Womens 1,807 N Monte Vista St,Ada,OK,74820-7711,580-332-8855,,All Other Clinic Types,Permanent,Service Delivery Site,-96.63484771,34.78299519
10258,Cross Road Medical Center,Mile 187 Glenn Hwy,Glennallen,AK,99588,907-822-3203,www.crossroadmc.org,All Other Clinic Types,Permanent,Service Delivery Site,-145.53282004,62.10792
10260,Western Sussex Community Health Center,300 High St,Seaford,DE,19973-3940,302-855-1233,,All Other Clinic Types,Permanent,Service Delivery Site,-75.61214372,38.64098636
10262,ACCESS at Gary Comer Youth Center,7200 S Ingleside Ave,Chicago,IL,60619-1254,773-324-6942,www.accesscommunityhealth.net,All Other Clinic Types,Permanent,Service Delivery Site,-87.60217634,41.76370659
10263,AccessHealth Fayette Clinic,5493 Maple Ln,Fayetteville,WV,25840-6872,304-465-1735,,All Other Clinic Types,Permanent,Service Delivery Site,-81.12392131,38.03783202
10264,Tri-Area Community Health - Grayson Highlands,6436 Troutdale Hwy,Troutdale,VA,24378-2023,866-942-0401,,All Other Clinic Types,Permanent,Service Delivery Site,-81.40554864,36.65284339
10267,Venice Family Clinic - Bill&#39;s Clinic at Safe Place for Youth (SPY),2469 Lincoln Blvd,Venice,CA,90291-5040,310-392-8630,venicefamilyclinic.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.45063062,33.99300199
10268,AltaMed Urgent Care - Anaheim,1325 N Anaheim Blvd STE 101,Anaheim,CA,92801-1202,714-399-4905,www.altamed.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.91996026,33.85331015
10270,Surry Medical Center,440 Colonial Trl W,Dendron,VA,23839-2205,804-834-8871,NONE,All Other Clinic Types,Permanent,Service Delivery Site,-76.85015953,37.12469345
10271,"HopeHealth, Inc.",600 E Palmetto St,Florence,SC,29506-2851,843-667-9414,www.hope-health.org,All Other Clinic Types,Permanent,Service Delivery Site,-79.7588034,34.19413384
10274,Affinia Healthcare at The St. Louis Dental Center,1500 Park Ave,Saint Louis,MO,63104-3024,314-898-1700,www.affiniahealthcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.20877087,38.61603142
10275,Riverside Medical Services 2400,300 Riverside Dr E STE 2400,Bradenton,FL,34208-1006,941-776-4000,,All Other Clinic Types,Permanent,Service Delivery Site,-82.56048354,27.49833884
10276,CHS Alcoa (Blount Co),255 E Watt St,Alcoa,TN,37701-2236,865-380-4390,,All Other Clinic Types,Permanent,Service Delivery Site,-83.97816059,35.77959132
10277,Liberation Programs,399 Mill Hill Ave,Bridgeport,CT,06610-2865,203-384-9301,,All Other Clinic Types,Permanent,Service Delivery Site,-73.16526845,41.19195845
10280,Hyndman Area Health Center (DBA Everett Family Health Center),14 E 3rd Ave,Everett,PA,15537-1305,814-565-3239,,All Other Clinic Types,Permanent,Service Delivery Site,-78.36874992,40.00705008
10281,Southern Jersey at English Creek,3003 English Creek Ave STE C6,Egg Harbor Township,NJ,08234-4818,609-567-0200,,All Other Clinic Types,Permanent,Service Delivery Site,-74.61353702,39.43329401
10282,Port Charlotte Pediatric & Dental Office,4300 Kings Hwy STE 500,Port Charlotte,FL,33980-2953,239-344-2306,www.fhcswf.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.06799099,26.96343
10284,Teche Action Clinic @ Houma,1014 W Tunnel Blvd,Houma,LA,70360-4050,985-851-1717,,All Other Clinic Types,Permanent,Service Delivery Site,-90.7326611,29.59141359
10285,Valley Vista Medical Group,"820 Memorial St, Ste 1",Prosser,WA,99350-2504,509-786-2010,www.yvfwc.com,All Other Clinic Types,Permanent,Service Delivery Site,-119.76348007,46.20733601
10287,Downtown Public Health Center,2124 4th Ave,Seattle,WA,98121-2308,206-296-4755,http://www.kingcounty.gov/healthservices/health/locations/downtown.aspx,All Other Clinic Types,Permanent,Service Delivery Site,-122.34225824,47.61439478
10288,Mendocino Coast Clinics,855 Sequoia Cir,Fort Bragg,CA,95437-5466,707-964-1251,www.mendocinocoastclinics.org,All Other Clinic Types,Permanent,Service Delivery Site,-123.80240027,39.43005344
10292,204 Bellevue St.,204 S Bellevue Ave,Dover,OH,44622-9405,234-801-4747,,All Other Clinic Types,Permanent,Service Delivery Site,-81.45476701,40.51172246
10294,Aria Community Health Center Hanford 107  [Wee Dental],329 W 8th St STE 107,Hanford,CA,93230-4533,559-587-2505 x2630,www.AriaCHC.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.65034659,36.32698207
10295,PHILADELPHIA HEALTH CENTER,10330 Road 375,Philadelphia,MS,39350-3249,601-656-0226,,All Other Clinic Types,Permanent,Service Delivery Site,-89.14377765,32.75859365
10296,Ridgway Area Medical Center,49 Ridgmont Dr,Ridgway,PA,15853-9700,814-245-2119,,All Other Clinic Types,Permanent,Service Delivery Site,-78.74408844,41.43530522
10297,Rhinebeck Health Center,216 Fox Hollow Rd,Rhinebeck,NY,12572-3641,845-876-5400,,All Other Clinic Types,Permanent,Service Delivery Site,-73.92394846,41.88749829
10298,Hilo Woman&#39;s Health Center,73 Puuhonu Pl,Hilo,HI,96720-2060,808-333-3600,,All Other Clinic Types,Permanent,Service Delivery Site,-155.0976162,19.71688021
10300,FHCSO - Coalgate,107 E Post Ave,Coalgate,OK,74538-3004,580-927-2828,,All Other Clinic Types,Permanent,Service Delivery Site,-96.22060349,34.52694016
10301,PCC Dr. Tong Health Center,1 Erie Ct STE 6040,Oak Park,IL,60302-2510,708-386-1301,www.pccwellness.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.77553798,41.89178253
10302,CCS Behavioral at AMA,2 Great Falls Plz STE 21,Auburn,ME,04210-5966,207-330-3950,http://www.stmarysmaine.com/Our-Providers/auburn-medical-associates.html,All Other Clinic Types,Permanent,Service Delivery Site,-70.22601522,44.09871853
10303,Rhea County Primary Care Center,8850 Rhea County Hwy,Dayton,TN,37321-7932,423-775-1160,,All Other Clinic Types,Permanent,Service Delivery Site,-84.98894879,35.52598946
10305,La Maestra Family Clinic,4060 Fairmount Ave,San Diego,CA,92105-1608,619-280-4213,www.lamaestra.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.10093709,32.75052155
10306,Wilmington Family Health Center,200 E Anaheim St,Wilmington,CA,90744-4516,310-522-8700,www.necc.net,All Other Clinic Types,Permanent,Service Delivery Site,-118.26089585,33.78003975
10307,Carlin Community Health Center,310 Memory Ln,Carlin,NV,89822-9902,800-787-2568,www.nvhealthcenters.org,All Other Clinic Types,Permanent,Service Delivery Site,-116.11680242,40.71750635
10308,N.E.W. Dental Clinic at NWTC,2740 W Mason St,Green Bay,WI,54303-4966,920-272-9435,,All Other Clinic Types,Permanent,Service Delivery Site,-88.10386769,44.52402271
10309,ARCTIC VILLAGE HEALTH CLINIC,Main St,Arctic Village,AK,99722,907-587-5229,www.catg.org,All Other Clinic Types,Permanent,Service Delivery Site,-145.51838841,68.12254255
